sandbox02.r1soft.com,346.27399
lb01.stage.r1soft.com,19.82223
hourm01.stage.r1soft.com,6.43263
hourm02.stage.r1soft.com,4.90226
sandbox01.r1soft.com,2.32324
housbm02.stage.r1soft.com,2.14701
lobsbm01.stage.r1soft.com,1.04746
houftp01.stage.r1soft.com,0.5438
houcm01.stage.r1soft.com,0.43566
loasbm01.stage.r1soft.com,0.39457
housbm04.stage.r1soft.com,0.39134
houftp02.stage.r1soft.com,0.22902
loaftp01.stage.r1soft.com,0.2121
houcass01.stage.r1soft.com,0.11234
houcass02.stage.r1soft.com,0.08828
houpxe01.stage.r1soft.com,0.08805
houcass03.stage.r1soft.com,0.06297
vyattahou.continuum.net,0.0427
houmetric01.itsupport247.net,0.02239
housbm01.stage.r1soft.com,0.00165
total: 385.57369GB ...  price: $34.7
